,term,rank,scores,counting,attention_average
9171,found,51.8292023471531,44.65263937359123,3520.0,0.012685408912952053
23897,take,51.52201115659131,39.927076082127314,3400.0,0.011743257671213916
17775,plastic,51.45488909741562,44.37906571438725,3064.0,0.014484029280152497
4202,clean,51.1680349476876,47.878154433561576,4008.0,0.011945647313762868
14538,microphone,50.903263299945095,50.921561433180614,3744.0,0.013600844399887985
8757,fits,50.85694398211238,44.78308240389197,2128.0,0.0210446815807763
13770,low,50.54582827835533,43.80296900577014,3608.0,0.012140512473883076
14428,metal,50.34539891101203,39.18118908764154,3672.0,0.010670258466133318
19131,quite,50.06117397088929,38.91388629470748,3128.0,0.012440500733602136
8074,expensive,49.89866534980427,41.62323131691301,2896.0,0.014372662747552833
2590,board,49.567779650673046,40.65529840499221,3064.0,0.013268700523822523
24211,thats,49.38886802216346,0.0,0.0,
14229,may,49.11987597793904,40.55624668467135,3840.0,0.010561522574133165
7958,excellent,48.99923623514726,45.555423237205105,2472.0,0.01842856927071404
